#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Jatropha curcas	180498	PRJNA63485	63485	Plants	Land Plants	318.527	35.8997	GCA_000696525.1	chloroplast Pltd:NC_012224.1/FJ695500.1	AFEW01	6024	24581	32547	2014/05/23	2014/06/02	Scaffold	Chinese Academy of Sciences	SAMN02799222
Rhodotorula graminis WP1	578459	PRJNA32711	32711	Fungi	Basidiomycetes	21.014	67.5	GCA_001329695.1	-	JTAO01	26	7429	7278	2015/10/14	2015/10/19	Scaffold	DOE Joint Genome Institute	SAMN00138171
Serpula lacrymans var. lacrymans S7.9	578457	PRJNA32885	32885	Fungi	Basidiomycetes	42.7972	45.3	GCA_000218685.1	-	AEQB01	46	12923	12925	2011/06/16	2014/08/01	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02744068
Candida parapsilosis	5480	PRJEA32889	32889	Fungi	Ascomycetes	13.0302	38.7	GCA_000182765.2	-	-	9	5907	5810	-	-	Scaffold	Wellcome Trust Sanger Institute	-
Nosema ceranae BRL01	578460	PRJNA32971	32971	Fungi	Other Fungi	7.86022	25.3	GCA_000182985.1	-	ACOL01	5465	2376	2060	2009/06/09	2014/08/04	Contig	USDA-ARS Bee Research Laboratory	SAMN00002233
Varroa destructor	109461	PRJNA33465	33465	Animals	Other Animals	331.927	-	GCA_000181155.2	-	ADDG02	20448	-	-	2010/01/11	2017/05/09	Scaffold	Varroa Genome Sequencing Consortium	SAMN03395039
[Candida] tenuis ATCC 10573	590646	PRJNA33673	33673	Fungi	Ascomycetes	10.747	43	GCA_000223465.1	-	AEIM01	25	5547	6985	2011/08/16	2014/08/04	Scaffold	DOE Joint Genome Institute	SAMN00715317
Aspergillus carbonarius ITEM 5010	602072	PRJNA34741	34741	Fungi	Ascomycetes	36.1491	51.6	GCA_001990825.1	-	AHIG01	829	11735	11478	2017/01/06	2017/02/15	Scaffold	DOE Joint Genome Institute	SAMN00727628
Puccinia triticina 1-1 BBBD Race 1	630390	PRJNA36323	36323	Fungi	Basidiomycetes	135.344	36.8	GCA_000151525.2	-	ADAS02	14818	15539	15685	2009/11/18	2016/06/06	Scaffold	Broad Institute	SAMN02981248
Cucumis sativus	3659	PRJNA33619	33619	Plants	Land Plants	195.669	32.7902	GCA_000004075.2	chromosome 1:NC_026655.1/CM002922.1; chromosome 2:NC_026656.1/CM002923.1; chromosome 3:NC_026657.1/CM002924.1; chromosome 4:NC_026658.1/CM002925.1; chromosome 5:NC_026659.1/CM002926.1; chromosome 6:NC_026660.1/CM002927.1; chromosome 7:NC_026661.1/CM002928.1; mitochondrion 1:NC_016005.1/HQ860792.1; mitochondrion 2:NC_016004.1/HQ860794.1; mitochondrion 3:NC_016006.1/HQ860793.1; chloroplast Pltd:NC_007144.1/AJ970307.1	ACHR02	190	20396	25668	2009/10/20	2014/10/27	Chromosome	The Cucumber Genome Initiative	SAMN02953750
Colletotrichum graminicola M1.001	645133	PRJNA37879	37879	Fungi	Ascomycetes	51.6443	49.0853	GCA_000149035.1	mitochondrion MT:NW_007361658.1/CM001021.1	ACOD01	654	12387	12020	2009/08/05	2014/08/06	Scaffold	Broad Institute	SAMN02953757
Gorilla gorilla gorilla	9595	PRJNA350851	350851	Animals	Mammals	3063.36	41.2224	GCA_000151905.3	chromosome 1:NC_018424.2/FR853080.2; chromosome 2A:NC_018425.2/FR853094.2; chromosome 2B:NC_018426.2/FR853095.2; chromosome 3:NC_018427.2/FR853096.2; chromosome 4:NC_018428.2/FR853097.2; chromosome 5:NC_018429.2/FR853098.3; chromosome 6:NC_018430.2/FR853099.2; chromosome 7:NC_018431.2/FR853100.2; chromosome 8:NC_018432.2/FR853101.2; chromosome 9:NC_018433.2/FR853102.2; chromosome 10:NC_018434.2/FR853081.2; chromosome 11:NC_018435.2/FR853082.2; chromosome 12:NC_018436.2/FR853083.2; chromosome 13:NC_018437.2/FR853084.2; chromosome 14:NC_018438.2/FR853085.2; chromosome 15:NC_018439.2/FR853086.2; chromosome 16:NC_018440.2/FR853087.2; chromosome 17:NC_018441.2/FR853088.3; chromosome 18:NC_018442.2/FR853089.2; chromosome 19:NC_018443.2/FR853090.2; chromosome 20:NC_018444.2/FR853091.2; chromosome 21:NC_018445.2/FR853092.2; chromosome 22:NC_018446.2/FR853093.2; chromosome X:NC_018447.2/FR853103.2; chromosome MT:LN611626.1; mitochondrion MT:NC_011120.1/X93347.1	CABD03	40730	31893	46533	2008/10/19	2015/01/30	Chromosome	NCBI	SAMEA2272491
Amaranthus tuberculatus	277990	PRJNA38543	38543	Plants	Land Plants	4.34798	35	GCA_000180655.1	-	ACQK01	15440	-	-	2009/06/22	2013/11/01	Contig	University of Illinois	SAMN00008865
Eucalyptus grandis	71139	PRJNA49047	49047	Plants	Land Plants	691.43	39.9993	GCA_000612305.1	chloroplast Pltd:NC_014570.1/HM347959.1	AUSX01	4951	45226	52554	2014/04/02	2014/06/25	Scaffold	Geneglob	SAMN02230419
Metarhizium anisopliae ARSEF 549	1276135	PRJNA184754	184754	Fungi	Ascomycetes	38.5043	50.9	GCA_000814975.1	-	AZNF01	74	10891	10891	2015/01/06	2015/01/06	Scaffold	Shanghai Insititutes for Biological Sciences, CAS	SAMN03268434
Tuber melanosporum	39416	PRJEA38847	38847	Fungi	Ascomycetes	124.946	44.9	GCA_000151645.1	-	CABJ01	398	7496	7496	2010/04/27	2010/05/20	Scaffold	The French-Italian Tuber Genome Consortium	SAMEA2272024
Phanerochaete carnosa HHB-10118-sp	650164	PRJNA38425	38425	Fungi	Basidiomycetes	46.2933	52.9	GCA_000300595.1	-	AEHB01	1137	14087	13925	2012/10/01	2014/08/11	Scaffold	DOE Joint Genome Institute	SAMN02981278
Magnaporthiopsis poae ATCC 64411	644358	PRJNA37933	37933	Fungi	Ascomycetes	39.6418	55.9	GCA_000193285.1	-	ADBL01	206	12363	12329	2011/03/18	2015/06/17	Scaffold	Broad Institute	SAMN02981251
Hamiltosporidium tvaerminnensis OER-3-3	657448	PRJNA39213	39213	Fungi	Other Fungi	13.2708	26.5	GCA_000180835.1	-	ACSZ01	41786	-	-	2009/09/30	2014/08/06	Contig	University of British Columbia	SAMN02953763
Sordaria macrospora	5147	PRJNA39253	39253	Fungi	Ascomycetes	39.955	52.6	GCA_000182805.1	-	CABT01	4783	11279	10827	2009/12/10	2012/05/31	Scaffold	Ruhr University Bochum, Department of General and Molecular Botany	-
Pseudogymnoascus destructans 20631-21	658429	PRJNA39257	39257	Fungi	Ascomycetes	30.6849	49.9776	GCA_000184105.1	mitochondrion MT:NW_012236426.1/CM001060.1	AEFC01	1847	9224	9153	2010/12/02	2014/08/11	Scaffold	Broad Institute	SAMN02981273
Schizosaccharomyces cryophilus OY26	653667	PRJNA38373	38373	Fungi	Ascomycetes	11.5548	37.7	GCA_000004155.2	-	ACQJ02	30	5468	5180	2009/11/13	2014/08/06	Scaffold	Broad Institute	SAMN02953762
Micromonas sp. ASP10-01a	1621096	PRJNA276743	276743	Plants	Green Algae	19.5824	59.2	GCA_001430725.1	-	LAQG01	1069	-	-	2015/04/28	2015/04/28	Scaffold	Marine Biological Laboratory	SAMN03380213
Trichophyton verrucosum HKI 0517	663202	PRJNA39693	39693	Fungi	Ascomycetes	22.541	48.2	GCA_000151505.1	-	ACYE01	523	8086	8028	2010/03/17	2014/08/06	Scaffold	Arthroderma Genome Sequencing Consortium	SAMN02953766
Grosmannia clavigera kw1407	655863	PRJNA39837	39837	Fungi	Ascomycetes	29.794	53.3	GCA_000143105.2	-	ACXQ02	289	8312	8312	2009/09/04	2014/08/06	Scaffold	The Tria Project	SAMN02953765
Lachancea fermentati	4955	PRJEB12930	317828	Fungi	Ascomycetes	10.2645	42.582	GCA_900074765.1	chromosome A:LT598487.1; chromosome B:LT598489.1; chromosome C:LT598485.1; chromosome D:LT598492.1; chromosome E:LT598488.1; chromosome F:LT598490.1; chromosome G:LT598486.1; chromosome H:LT598491.1	FJUO01	8	5586	5233	2016/04/05	2016/04/05	Chromosome	INRA UMR 1319	SAMEA3888429
Fusarium proliferatum ET1	1227346	PRJEB9885	356392	Fungi	Ascomycetes	45.2103	48.1	GCA_900067095.1	-	FJOF01	32	16509	16143	2016/12/06	2016/12/06	Scaffold	Institute of Bioinformatics and Systems Biology	SAMEA3862493
Metarhizium acridum CQMa 102	655827	PRJNA38715	38715	Fungi	Ascomycetes	39.4223	49.8	GCA_000187405.1	-	ADNI01	241	9974	9849	2011/01/31	2014/08/11	Scaffold	Metarhizium genome sequencing Consortium	SAMN02981259
Zygosaccharomyces bailii CLIB 213	1333698	PRJEB1908	211734	Fungi	Ascomycetes	10.2688	42.5	GCA_000442885.1	-	-	27	5240	4723	-	-	Scaffold	INRAMONTPELLIER	SAMEA2272794
Procavia capensis	9813	PRJNA13972	13972	Animals	Mammals	3602.18	41.8	GCA_000152225.2	-	ABRQ02	65694	-	-	2008/09/19	2014/12/16	Scaffold	Baylor College of Medicine	SAMN02894304
Trichoderma harzianum	5544	PRJNA357189	357189	Fungi	Ascomycetes	40.6764	47.4	GCA_001990665.1	-	MRYK01	1054	-	-	2017/02/08	2017/02/08	Scaffold	AIT-Austrian Institute of Technology	SAMN06134667
Puccinia striiformis f. sp. tritici PST-78	1165861	PRJNA41279	41279	Fungi	Basidiomycetes	117.391	36.3	GCA_001191645.1	-	AJIL01	9716	48	20	2015/07/31	2015/08/03	Scaffold	Broad Institute	SAMN03897338
Microbotryum violaceum	5272	PRJEB12080	358699	Fungi	Basidiomycetes	39.9002	55.5	GCA_900015485.1	-	FBRW01	156	-	-	2016/12/23	2016/12/23	Contig	INRA-LIPM	SAMEA3706527
Epichloe festucae Fl1	877507	PRJNA51625	51625	Fungi	Ascomycetes	35.1499	44.2	GCA_000226195.2	-	AFRX02	759	-	-	2011/09/19	2016/08/02	Scaffold	University of Kentucky	SAMN02981348
Mchenga conophoros	35575	PRJNA29477	29477	Animals	Fishes	73.4256	41.8	GCA_000150855.1	-	ABPJ01	61923	-	-	2008/06/20	2014/08/04	Scaffold	Cichlid Genome Consortium	SAMN02743801
Bipolaris maydis ATCC 48331	665024	PRJNA295860	295860	Fungi	Ascomycetes	32.9292	50.7	GCA_000354255.1	-	AIHU01	207	12809	12705	2013/04/06	2014/08/01	Scaffold	NCBI	SAMN00113370
Encephalitozoon intestinalis ATCC 50506	876142	PRJNA42703	42703	Fungi	Other Fungi	2.2169	41.5182	GCA_000146465.1	chromosome I:NC_014415.1/CP001942.1; chromosome II:NC_014416.1/CP001943.1; chromosome III:NC_014417.1/CP001944.1; chromosome IV:NC_014418.1/CP001945.1; chromosome V:NC_014419.1/CP001946.1; chromosome VI:NC_014420.1/CP001947.1; chromosome VII:NC_014421.1/CP001948.1; chromosome VIII:NC_014422.1/CP001949.1; chromosome IX:NC_014423.1/CP001950.1; chromosome X:NC_014424.1/CP001951.1; chromosome XI:NC_014425.1/CP001952.1	-	11	2011	1939	2010/08/16	2014/12/22	Chromosome	Keeling lab, University of British Columbia	SAMN03081424
Dictyostelium fasciculatum	261658	PRJNA40189	40189	Protists	Other Protists	31.0192	33.8	GCA_000203815.1	-	ADHC01	25	12363	12165	2011/04/07	2014/08/06	Scaffold	Leibniz Institute for Age Research - Fritz Lipmann Institute	SAMN02953769
Polysphondylium pallidum PN500	670386	PRJNA40191	40191	Protists	Other Protists	32.9702	32.0981	GCA_000004825.1	plasmid PPN500:NC_013781.1/CP001838.1	ADBJ01	43	12590	12336	2009/12/15	2014/08/06	Scaffold	Leibniz Institute for Age Research - Fritz Lipmann Institute	SAMN02953767
Wuchereria bancrofti	6293	PRJNA275548	275548	Animals	Roundworms	90.3251	29.1	GCA_001555675.1	-	LAQH01	5105	-	-	2016/02/09	2016/02/09	Scaffold	Case Western Reserve University	SAMN03349691
Mayetiola destructor	39758	PRJNA45867	45867	Animals	Insects	185.828	35.9	GCA_000149185.1	-	AEGA01	24475	-	-	2010/09/29	2014/08/06	Scaffold	Baylor College of Medicine	SAMN02953781
Hyaloperonospora arabidopsidis Emoy2	559515	PRJNA30969	30969	Protists	Other Protists	78.3805	47.4	GCA_000173235.2	-	ABWE02	3108	-	-	2008/09/12	2014/08/06	Scaffold	Washington University Genome Sequencing Center	SAMN02953736
Labeotropheus fuelleborni	57307	PRJNA29479	29479	Animals	Fishes	70.8584	42.1	GCA_000150875.1	-	ABPK01	58245	-	-	2008/06/20	2014/08/01	Scaffold	Cichlid Genome Consortium	SAMN02743802
Melanochromis auratus	27751	PRJNA29481	29481	Animals	Fishes	68.2386	41.5	GCA_000150895.1	-	ABPL01	63297	-	-	2008/06/20	2014/08/01	Scaffold	Cichlid Genome Consortium	SAMN02743803
Maylandia zebra	106582	PRJNA60369	60369	Animals	Fishes	859.842	41.4002	GCA_000238955.3	mitochondrion MT:NC_027944.1/KT166981.1; mitochondrion MT:CM003499.1	AGTA03	3555	26932	42889	2011/12/01	2015/10/06	Scaffold	Broad Institute	SAMN03892560
Rhamphochromis esox	163638	PRJNA29485	29485	Animals	Fishes	71.2951	42.3	GCA_000150935.1	-	ABPN01	55751	-	-	2008/06/23	2014/08/01	Scaffold	Cichlid Genome Consortium	SAMN02743805
Nothobranchius furzeri	105023	PRJEB5837	304522	Animals	Fishes	1242.52	44.8104	GCA_001465895.2	chromosome sgr01:NC_029649.1/LN609383.1; chromosome sgr02:NC_029650.1/LN609382.1; chromosome sgr03:NC_029651.1/LN609391.1; chromosome sgr04:NC_029652.1/LN609393.1; chromosome sgr05:NC_029653.1/LN609377.1; chromosome sgr06:NC_029654.1/LN609381.1; chromosome sgr07:NC_029655.1/LN609387.1; chromosome sgr08:NC_029656.1/LN609384.1; chromosome sgr09:NC_029657.1/LN609379.1; chromosome sgr10:NC_029658.1/LN609385.1; chromosome sgr11:NC_029659.1/LN609378.1; chromosome sgr12:NC_029660.1/LN609394.1; chromosome sgr13:NC_029661.1/LN609389.1; chromosome sgr14:NC_029662.1/LN609392.1; chromosome sgr15:NC_029663.1/LN609388.1; chromosome sgr16:NC_029664.1/LN609380.1; chromosome sgr17:NC_029665.1/LN609395.1; chromosome sgr18:NC_029666.1/LN609386.1; chromosome sgr19:NC_029667.1/LN609390.1; mitochondrion MT:NC_011814.1/EU650204.1	CCSH01	6013	25026	36873	2015/12/01	2016/02/02	Chromosome	Leibniz Institute on Aging â€“ Fritz Lipmann Institute (FLI)	SAMEA2698544
Nothobranchius kuhntae	321403	PRJNA33401	33401	Animals	Fishes	5.23461	44.8	GCA_000173855.1	-	ACDA01	5934	-	-	2009/03/17	2014/08/11	Scaffold	Leibniz Institute for Age Research - Fritz Lipmann Institute, Jena, Germany	SAMN02981241
Clonorchis sinensis	79923	PRJDA72781	72781	Animals	Flatworms	547.288	44	GCA_000236345.1	-	BADR02	4348	13634	13634	2011/09/03	2015/09/16	Scaffold	Department of Parasitology, Zhongshan School of Medicine, Sun Yat-sen University	SAMD00036587
Anopheles stephensi	30069	PRJNA167914	167914	Animals	Insects	221.324	45	GCA_000300775.2	-	ALPR02	23371	-	-	2012/10/01	2014/10/22	Scaffold	Virgina Tech	SAMN02195186
Anopheles darlingi	43151	PRJNA46227	46227	Animals	Insects	136.936	48.3	GCA_000211455.3	-	ADMH02	2220	10672	10444	2010/11/22	2014/07/29	Contig	LNCC	SAMN02945024
Dicentrarchus labrax	13489	PRJEB5099	243422	Animals	Fishes	675.917	40.4	GCA_000689215.1	-	CBXY01	25	-	-	2014/04/07	2015/03/05	Scaffold	MPI-PZ	SAMEA3271076
Gadus morhua	8049	PRJNA41391	41391	Animals	Fishes	824.311	46.3	GCA_000231765.1	-	CAEA01	427427	-	-	2011/08/25	2016/06/25	Scaffold	Genofisk	SAMEA3138401
Zostera marina	29655	PRJNA41721	41721	Plants	Land Plants	203.914	38.9	GCA_001185155.1	-	LFYR01	2228	20855	20648	2015/07/22	2016/02/16	Scaffold	JGI	SAMN00991190
Phoenix dactylifera	42345	PRJNA249070	249070	Plants	Land Plants	556.481	40.1056	GCA_000413155.1	mitochondrion MT:NC_016740.1/JN375330.1; chloroplast Pltd:NC_013991.2/GU811709.2	ATBV01	80317	28270	38570	2013/06/19	2014/08/11	Scaffold	NCBI	SAMN02981540
Elaeis guineensis	51953	PRJNA268357	268357	Plants	Land Plants	1535.18	40.999	GCA_000442705.1	chromosome Chr1:NC_025993.1/CM002081.1; chromosome Chr2:NC_025994.1/CM002082.1; chromosome Chr3:NC_025995.1/CM002083.1; chromosome Chr4:NC_025996.1/CM002084.1; chromosome Chr5:NC_025997.1/CM002085.1; chromosome Chr6:NC_025998.1/CM002086.1; chromosome Chr7:NC_025999.1/CM002087.1; chromosome Chr8:NC_026000.1/CM002088.1; chromosome Chr9:NC_026001.1/CM002089.1; chromosome Chr10:NC_026002.1/CM002090.1; chromosome Chr11:NC_026003.1/CM002091.1; chromosome Chr12:NC_026004.1/CM002092.1; chromosome Chr13:NC_026005.1/CM002093.1; chromosome Chr14:NC_026006.1/CM002094.1; chromosome Chr15:NC_026007.1/CM002095.1; chromosome Chr16:NC_026008.1/CM002096.1; chloroplast Pltd:NC_017602.1/JF274081.1	ASJS01	40349	30271	41887	2013/07/26	2014/08/11	Chromosome	NCBI	SAMN02981535
Loa loa	7209	PRJNA37757	37757	Animals	Roundworms	91.3658	31.6	GCA_000183805.3	-	ADBU02	5764	15030	15440	2010/02/03	2014/07/08	Scaffold	Broad Institute	SAMN00103043
Ectocarpus siliculosus	2880	PRJEA42625	42625	Other	Other	195.811	53.4936	GCA_000310025.1	chromosome LG01:FN649726.1; chromosome LG02:FN649727.1; chromosome LG03:FN649728.1; chromosome LG04:FN649729.1; chromosome LG05:FN649730.1; chromosome LG06:FN649731.1; chromosome LG07:FN649732.1; chromosome LG08:FN649733.1; chromosome LG09:FN649734.1; chromosome LG10:FN649735.1; chromosome LG11:FN649736.1; chromosome LG12:FN649737.1; chromosome LG13:FN649738.1; chromosome LG14:FN649739.1; chromosome LG15:FN649740.1; chromosome LG16:FN649741.1; chromosome LG17:FN649742.1; chromosome LG18:FN649743.1; chromosome LG19:FN649744.1; chromosome LG20:FN649745.1; chromosome LG21:FN649746.1; chromosome LG22:FN649747.1; chromosome LG23:FN649748.1; chromosome LG24:FN649749.1; chromosome LG25:FN649750.1; chromosome LG26:FN649751.1; chromosome LG27:FN649752.1; chromosome LG28:FN649753.1; chromosome LG29:FN649754.1; chromosome LG30:FN649755.1; chromosome LG31:FN649756.1; chromosome LG32:FN649757.1; chromosome LG33:FN649758.1; chromosome LG34:FN649759.1	CABU01	1561	16566	16269	2010/06/19	2010/06/19	Chromosome	Genoscope - CEA	SAMEA2271914
Coccomyxa subellipsoidea C-169	574566	PRJNA32657	32657	Plants	Green Algae	48.8266	52.9	GCA_000258705.1	-	AGSI01	29	9915	9839	2012/04/13	2014/08/01	Contig	JGI	SAMN02744078
Cryptomonas paramecium	2898	PRJNA51145	51145	Protists	Other Protists	0.564783	27.811	GCA_000194455.1	chromosome 1:NC_015329.1/CP002172.1; chromosome 2:NC_015330.1/CP002173.1; chromosome 3:NC_015331.1/CP002174.1; plastid Pltd:NC_013703.1/GQ358203.1	-	4	634	548	2011/03/30	2011/04/22	Chromosome	Department of Biochemistry & Molecular Biology, Dalhousie University	-
Anopheles funestus	62324	PRJNA67223	67223	Animals	Insects	225.224	42.8	GCA_000349085.1	-	APCI01	1392	-	-	2013/03/25	2016/11/29	Scaffold	Broad Institute	SAMN01087923
Amphimedon queenslandica	400682	PRJNA39517	39517	Animals	Other Animals	166.7	37.5008	GCA_000090795.1	mitochondrion MT:NC_008944.1/DQ915601.1	ACUQ01	13398	24608	24116	2010/05/19	2014/05/05	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02743868
Steinernema carpocapsae	34508	PRJNA202318	202318	Animals	Roundworms	85.9347	45.5	GCA_000757645.1	-	AZBU01	1562	-	-	2014/09/24	2015/10/01	Scaffold	California Institute of Technology	SAMN03032171
Ailuropoda melanoleuca	9646	PRJNA38683	38683	Animals	Mammals	2299.51	41.7	GCA_000004335.1	mitochondrion MT:NC_009492.1/EF212882.1	ACTA01	81467	24774	36506	2009/12/12	2013/11/01	Scaffold	Beijing Genomics Institute, Shenzhen	SAMN00008160
Onchocerca volvulus	6282	PRJEB513	226660	Animals	Roundworms	96.3406	29.8	GCA_000499405.2	-	CBVM02	674	-	-	2013/11/05	2015/01/30	Scaffold	WTSI	SAMEA3138812
Tetranychus urticae	32264	PRJEA71041	71041	Animals	Other Animals	90.8286	32.4976	GCA_000239435.1	mitochondrion MT:NC_010526.1/EU345430.1	CAEY01	641	13395	15054	2011/12/02	2011/12/02	Scaffold	Spider mite consortium	SAMEA2272276
Drosophila albomicans	7291	PRJNA39511	39511	Animals	Insects	253.56	39.4	GCA_000298335.1	-	ACVV01	26354	-	-	2012/09/18	2014/08/04	Scaffold	Kunming Institute of Zoology, Chinese Academy of Sciences	SAMN00003213
Saprolegnia parasitica CBS 223.65	695850	PRJNA36583	36583	Protists	Other Protists	53.1316	57.5	GCA_000151545.2	-	ADCG02	1443	20399	20121	2010/02/04	2014/08/11	Scaffold	Broad Institute	SAMN02981252
Lepeophtheirus salmonis	72036	PRJNA280127	280127	Animals	Other Animals	665.13	30.7	GCA_001005205.1	-	LBBX01	83165	-	-	2015/05/08	2015/05/08	Contig	University of Victoria	SAMN03457014
Pogonomyrmex barbatus	144034	PRJNA45797	45797	Animals	Insects	235.646	37.2	GCA_000187915.1	-	ADIH01	4645	12524	18978	2011/02/04	2014/08/06	Scaffold	The Ant Genomics Consortium	SAMN02953770
Linepithema humile	83485	PRJNA45799	45799	Animals	Insects	219.501	37.9	GCA_000217595.1	-	ADOQ01	3030	12976	21674	2011/06/07	2014/05/08	Scaffold	The Ant Genomics Consortium	SAMN02767796
Ceratitis capitata	7213	PRJNA168120	168120	Animals	Insects	479.048	36.2995	GCA_000347755.2	mitochondrion MT:NC_000857.1/AJ242872.1	AOHK01	1806	14017	22782	2013/03/20	2014/08/06	Scaffold	The i5k Initiative	SAMN02953830
Bombus terrestris	30195	PRJNA45869	45869	Animals	Insects	248.654	38.0986	GCA_000214255.1	linkage group LG B01:NC_015762.1/CM001169.1; linkage group LG B02:NC_015763.1/CM001170.1; linkage group LG B03:NC_015764.1/CM001171.1; linkage group LG B04:NC_015765.1/CM001172.1; linkage group LG B05:NC_015766.1/CM001173.1; linkage group LG B06:NC_015767.1/CM001174.1; linkage group LG B07:NC_015768.1/CM001175.1; linkage group LG B08:NC_015769.1/CM001176.1; linkage group LG B09:NC_015770.1/CM001177.1; linkage group LG B10:NC_015771.1/CM001178.1; linkage group LG B11:NC_015772.1/CM001179.1; linkage group LG B12:NC_015773.1/CM001180.1; linkage group LG B13:NC_015774.1/CM001181.1; linkage group LG B14:NC_015775.1/CM001182.1; linkage group LG B15:NC_015776.1/CM001183.1; linkage group LG B16:NC_015777.1/CM001184.1; linkage group LG B17:NC_015778.1/CM001185.1; linkage group LG B18:NC_015779.1/CM001186.1	AELG01	5678	11816	22091	2010/12/10	2015/04/27	Chromosome	Baylor College of Medicine	SAMN00009041
Apis florea	7463	PRJNA45871	45871	Animals	Insects	230.485	34.8984	GCA_000184785.1	mitochondrion MT:NC_021401.1/JX982136.1	AEKZ01	7946	12158	17676	2010/12/10	2014/08/04	Scaffold	Baylor College of Medicine	SAMN00009081
Myzus persicae	13164	PRJNA397782	397782	Animals	Insects	347.313	30.0993	GCA_001856785.1	mitochondrion MT:NC_029727.1/KU236024.1	LXJY01	4021	16941	23910	2016/09/19	2016/09/19	Scaffold	NCBI	SAMN04909046
Dictyostelium firmibasis	79012	PRJNA45875	45875	Protists	Other Protists	30.5597	27.8	GCA_000277485.1	-	AJWH01	997	-	-	2012/07/09	2014/08/04	Scaffold	BCM-HGSC	SAMN00009465
Dictyostelium citrinum	361072	PRJNA45877	45877	Protists	Other Protists	26.2518	30.3	GCA_000286055.1	-	AJWG01	1772	-	-	2012/08/08	2013/11/14	Scaffold	BCM-HGSC	SAMN00009454
Dictyostelium intermedium	361076	PRJNA45879	45879	Protists	Other Protists	30.5295	27.2	GCA_000277465.1	-	AJWI01	3111	-	-	2012/07/09	2014/08/04	Scaffold	BCM-HGSC	SAMN00009523
Polysphondylium violaceum	133409	PRJNA45881	45881	Protists	Other Protists	25.7234	31.8	GCA_000277445.1	-	AJWJ01	1228	-	-	2012/07/09	2014/08/04	Contig	BCM-HGSC	SAMN00009515
Oryza barthii	65489	PRJNA30379	30379	Plants	Land Plants	308.272	42.0761	GCA_000182155.3	chromosome 1:CM002639.1; chromosome 2:CM002643.2; chromosome 3:CM002644.1; chromosome 4:CM002645.1; chromosome 5:CM002646.2; chromosome 6:CM002647.1; chromosome 7:CM002648.1; chromosome 8:CM002649.1; chromosome 9:CM002650.1; chromosome 10:CM002640.2; chromosome 11:CM002641.2; chromosome 12:CM002642.2	ABRL02	12	-	-	2009/04/21	2014/08/06	Chromosome	Oryza Chr3 Short Arm Comparative Sequencing Project	SAMN02953732
Cricetulus griseus	10029	PRJNA69991	69991	Animals	Mammals	2399.79	41.6	GCA_000223135.1	mitochondrion MT:NC_007936.1/DQ390542.2	AFTD01	109152	27752	34935	2011/08/03	2014/08/11	Scaffold	Beijing Genomics Institute	SAMN02981352
